https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume EUR
1727913600,2024-10-03 00:00:00,ETH/EUR,2140.4,2177.2,2098.0,2129.2,1681.06211646,3579317.4583666315
1727827200,2024-10-02 00:00:00,ETH/EUR,2210.3,2257.8,2131.0,2140.7,1819.30461467,3894585.388624069
1727740800,2024-10-01 00:00:00,ETH/EUR,2336.6,2387.3,2180.7,2213.3,2657.24120278,5881271.954112975
1727654400,2024-09-30 00:00:00,ETH/EUR,2380.2,2384.0,2314.5,2336.1,3990.15772713,9321407.466348393
1727568000,2024-09-29 00:00:00,ETH/EUR,2397.0,2403.6,2360.5,2382.4,1106.15105534,2635294.2742420165
1727481600,2024-09-28 00:00:00,ETH/EUR,2414.4,2422.0,2376.6,2397.0,760.49777242,1822913.16049074
1727395200,2024-09-27 00:00:00,ETH/EUR,2355.6,2445.6,2341.9,2414.5,2035.09495207,4913736.761773015
1727308800,2024-09-26 00:00:00,ETH/EUR,2318.1,2386.4,2299.7,2355.6,1986.03180701,4678296.524592755
1727222400,2024-09-25 00:00:00,ETH/EUR,2371.5,2387.2,2296.3,2318.2,1454.57329715,3371991.8174531297
1727136000,2024-09-24 00:00:00,ETH/EUR,2382.8,2394.1,2324.0,2370.1,2822.54160589,6689705.860119889
1727049600,2024-09-23 00:00:00,ETH/EUR,2313.1,2428.8,2277.3,2383.6,2122.50329101,5059198.844451436
1726963200,2024-09-22 00:00:00,ETH/EUR,2343.8,2357.8,2264.6,2312.9,1869.13747678,4323128.070044463
1726876800,2024-09-21 00:00:00,ETH/EUR,2295.7,2350.2,2266.1,2342.6,990.13709629,2319495.1617689542
1726790400,2024-09-20 00:00:00,ETH/EUR,2210.0,2304.8,2185.1,2295.1,2228.74711068,5115197.493721668
1726704000,2024-09-19 00:00:00,ETH/EUR,2137.6,2234.7,2137.6,2209.1,2242.28698875,4953436.186847625
1726617600,2024-09-18 00:00:00,ETH/EUR,2103.5,2137.6,2045.1,2135.8,2878.03487316,6146906.882095129
1726531200,2024-09-17 00:00:00,ETH/EUR,2062.2,2151.0,2035.7,2105.8,1624.92768849,3421772.7264222424
1726444800,2024-09-16 00:00:00,ETH/EUR,2086.4,2098.4,2031.6,2062.3,1584.18816834,3267071.259567582
1726358400,2024-09-15 00:00:00,ETH/EUR,2182.5,2192.8,2061.5,2094.3,1343.88470391,2814497.7353987135
1726272000,2024-09-14 00:00:00,ETH/EUR,2204.2,2204.3,2147.5,2182.6,1091.52965012,2382372.614351912
1726185600,2024-09-13 00:00:00,ETH/EUR,2132.4,2225.0,2109.7,2203.6,2329.38461504,5133031.937702144
1726099200,2024-09-12 00:00:00,ETH/EUR,2126.5,2171.9,2098.1,2132.7,1765.28337984,3764819.8641847675
1726012800,2024-09-11 00:00:00,ETH/EUR,2168.5,2168.6,2071.7,2125.6,2188.09421768,4651013.069100607
1725926400,2024-09-10 00:00:00,ETH/EUR,2139.5,2175.4,2108.8,2167.8,1354.20243289,2935640.034018942
1725840000,2024-09-09 00:00:00,ETH/EUR,2073.8,2157.1,2060.3,2139.3,2542.77899497,5439767.103939322
1725753600,2024-09-08 00:00:00,ETH/EUR,2052.9,2105.1,2024.0,2073.8,1144.18096402,2372802.483184676
1725667200,2024-09-07 00:00:00,ETH/EUR,2011.7,2088.5,2007.0,2053.8,1864.87548582,3830081.2727771164
1725580800,2024-09-06 00:00:00,ETH/EUR,2131.4,2165.4,1942.0,2010.7,4790.01089335,9631274.903258845
1725494400,2024-09-05 00:00:00,ETH/EUR,2212.1,2225.4,2115.0,2131.5,1506.92527646,3212011.22677449
1725408000,2024-09-04 00:00:00,ETH/EUR,2198.4,2246.8,2090.0,2210.7,1573.59335059,3478742.8201493127
1725321600,2024-09-03 00:00:00,ETH/EUR,2294.0,2306.5,2187.0,2197.2,1479.47838231,3250709.9016115316
1725235200,2024-09-02 00:00:00,ETH/EUR,2197.6,2317.2,2197.5,2293.6,2080.53400054,4771912.783638543
1725148800,2024-09-01 00:00:00,ETH/EUR,2274.0,2278.8,2175.0,2199.1,1747.91532173,3843840.5840164428
1725062400,2024-08-31 00:00:00,ETH/EUR,2287.5,2294.7,2258.0,2275.5,413.69385640,941360.3702382001
1724976000,2024-08-30 00:00:00,ETH/EUR,2281.6,2300.8,2202.6,2287.8,3416.42314653,7816092.874631334
1724889600,2024-08-29 00:00:00,ETH/EUR,2274.6,2344.7,2259.4,2282.2,1354.70727134,3091712.934652148
1724803200,2024-08-28 00:00:00,ETH/EUR,2198.5,2299.2,2166.6,2273.9,1995.71667161,4538060.139573979
1724716800,2024-08-27 00:00:00,ETH/EUR,2401.5,2417.9,2142.0,2200.7,2550.14287555,5612099.426222885
1724630400,2024-08-26 00:00:00,ETH/EUR,2454.7,2467.7,2390.8,2401.8,1360.66974409,3268056.5913553624
1724544000,2024-08-25 00:00:00,ETH/EUR,2471.0,2494.0,2439.8,2455.0,1202.89373342,2953104.1155461
1724457600,2024-08-24 00:00:00,ETH/EUR,2473.8,2519.0,2440.9,2470.9,1460.09670824,3607752.956390216
1724371200,2024-08-23 00:00:00,ETH/EUR,2361.7,2501.0,2357.3,2472.1,3247.13179132,8027234.501322172
1724284800,2024-08-22 00:00:00,ETH/EUR,2358.4,2375.6,2320.8,2359.8,2099.93793693,4955433.543567414
1724198400,2024-08-21 00:00:00,ETH/EUR,2312.5,2387.9,2282.0,2358.7,1784.36377847,4208778.844277188
1724112000,2024-08-20 00:00:00,ETH/EUR,2380.0,2434.8,2300.3,2312.8,1814.77456333,4197210.610069624
1724025600,2024-08-19 00:00:00,ETH/EUR,2370.9,2401.1,2321.4,2380.1,1579.88737071,3760289.931026871
1723939200,2024-08-18 00:00:00,ETH/EUR,2372.6,2436.1,2357.2,2371.6,2158.62315945,5119390.68495162
1723852800,2024-08-17 00:00:00,ETH/EUR,2352.8,2383.6,2350.5,2372.9,978.09168436,2320913.7578178444
1723766400,2024-08-16 00:00:00,ETH/EUR,2344.6,2394.4,2322.8,2354.0,1868.59024255,4398661.4309627
1723680000,2024-08-15 00:00:00,ETH/EUR,2418.2,2436.4,2296.8,2344.4,1917.95938168,4496463.974410593
1723593600,2024-08-14 00:00:00,ETH/EUR,2459.3,2522.4,2383.3,2419.6,1433.95116845,3469588.24718162
1723507200,2024-08-13 00:00:00,ETH/EUR,2491.0,2505.2,2392.2,2459.1,1792.20864572,4407220.280690052
1723420800,2024-08-12 00:00:00,ETH/EUR,2340.3,2517.7,2304.6,2490.8,1757.63174267,4377909.144642436
1723334400,2024-08-11 00:00:00,ETH/EUR,2392.5,2493.6,2327.9,2341.8,1458.17161607,3414746.290512726
1723248000,2024-08-10 00:00:00,ETH/EUR,2383.5,2424.9,2364.3,2392.9,830.66893675,1987707.698749075
1723161600,2024-08-09 00:00:00,ETH/EUR,2451.7,2478.4,2339.3,2383.8,1523.44987830,3631599.81989154
1723075200,2024-08-08 00:00:00,ETH/EUR,2145.9,2497.2,2127.4,2456.1,2152.31970834,5286312.435653874
1722988800,2024-08-07 00:00:00,ETH/EUR,2255.5,2337.0,2117.6,2146.0,2742.77075446,5885986.039071159
1722902400,2024-08-06 00:00:00,ETH/EUR,2211.9,2340.0,2211.2,2255.1,2978.74743168,6717373.3331815675
1722816000,2024-08-05 00:00:00,ETH/EUR,2464.0,2471.6,1942.0,2210.4,9382.62163507,20739346.862158727
1722729600,2024-08-04 00:00:00,ETH/EUR,2663.9,2691.7,2415.3,2465.8,3390.00865678,8359083.345888125
1722643200,2024-08-03 00:00:00,ETH/EUR,2734.9,2771.7,2626.5,2664.2,2419.43718979,6445864.561038517
1722556800,2024-08-02 00:00:00,ETH/EUR,2966.8,2980.3,2720.3,2738.2,2070.22525151,5668690.783684681
1722470400,2024-08-01 00:00:00,ETH/EUR,2986.0,2994.7,2854.8,2968.4,1154.22703048,3426207.517276832
1722384000,2024-07-31 00:00:00,ETH/EUR,3030.2,3088.2,2970.0,2985.6,1337.01883607,3991803.4369705915
1722297600,2024-07-30 00:00:00,ETH/EUR,3065.1,3112.1,2990.1,3031.0,1017.08883652,3082796.26349212
1722211200,2024-07-29 00:00:00,ETH/EUR,3012.4,3133.1,3010.0,3067.1,1979.92522252,6072628.649991092
1722124800,2024-07-28 00:00:00,ETH/EUR,2989.8,3021.9,2946.6,3012.1,538.14640724,1620950.793247604
1722038400,2024-07-27 00:00:00,ETH/EUR,3013.8,3061.7,2945.9,2990.3,956.43300653,2860021.619426659
1721952000,2024-07-26 00:00:00,ETH/EUR,2926.1,3026.5,2921.7,3016.3,3413.09426061,10294916.218277944
1721865600,2024-07-25 00:00:00,ETH/EUR,3077.5,3082.9,2848.5,2925.4,2572.47533184,7525519.335764736
1721779200,2024-07-24 00:00:00,ETH/EUR,3206.9,3214.3,3038.1,3077.6,2033.07050394,6256977.782925744
1721692800,2024-07-23 00:00:00,ETH/EUR,3156.9,3255.1,3126.4,3209.2,2313.76149192,7425323.379869664
1721606400,2024-07-22 00:00:00,ETH/EUR,3243.6,3267.6,3143.9,3159.8,5522.75035884,17450786.583862636
1721520000,2024-07-21 00:00:00,ETH/EUR,3232.8,3252.7,3131.7,3242.8,896.71355551,2907862.717807828
1721433600,2024-07-20 00:00:00,ETH/EUR,3222.5,3251.0,3199.0,3230.4,622.71062541,2011604.4043244643
1721347200,2024-07-19 00:00:00,ETH/EUR,3142.4,3254.8,3102.8,3222.1,3936.47039756,12683701.267978076
1721260800,2024-07-18 00:00:00,ETH/EUR,3096.6,3196.3,3089.0,3142.9,1008.90466289,3170886.4649969814
1721174400,2024-07-17 00:00:00,ETH/EUR,3162.8,3227.0,3091.9,3097.7,1388.05495234,4299777.8258636175
1721088000,2024-07-16 00:00:00,ETH/EUR,3204.1,3211.3,3070.9,3159.7,2092.84816532,6612772.347961604
1721001600,2024-07-15 00:00:00,ETH/EUR,2982.2,3207.5,2972.6,3197.8,1538.80938617,4920804.655094426
1720915200,2024-07-14 00:00:00,ETH/EUR,2911.8,3001.8,2903.5,2982.8,1025.82414463,3059828.2586023645
1720828800,2024-07-13 00:00:00,ETH/EUR,2875.5,2935.3,2855.8,2911.5,678.64660305,1975879.584780075
1720742400,2024-07-12 00:00:00,ETH/EUR,2850.0,2896.1,2797.3,2873.6,1638.45993663,4708278.473899968
1720656000,2024-07-11 00:00:00,ETH/EUR,2861.2,2948.0,2820.3,2850.1,2183.72121429,6223823.832847929
1720569600,2024-07-10 00:00:00,ETH/EUR,2834.3,2909.8,2798.7,2863.7,2343.27691871,6710442.112109826
1720483200,2024-07-09 00:00:00,ETH/EUR,2783.9,2875.7,2773.4,2830.8,1945.43930490,5507149.58431092
1720396800,2024-07-08 00:00:00,ETH/EUR,2707.9,2854.3,2608.7,2785.7,2127.46266370,5926472.74226909
1720310400,2024-07-07 00:00:00,ETH/EUR,2826.1,2831.4,2700.0,2707.6,1146.46643740,3104172.5259042396
1720224000,2024-07-06 00:00:00,ETH/EUR,2751.3,2836.5,2728.4,2828.2,1689.91438106,4779415.852513892
1720137600,2024-07-05 00:00:00,ETH/EUR,2828.4,2873.6,2598.5,2751.7,4042.41507711,11123513.567683585
1720051200,2024-07-04 00:00:00,ETH/EUR,3054.6,3067.3,2824.1,2830.3,2252.67367437,6375742.300569411
1719964800,2024-07-03 00:00:00,ETH/EUR,3179.3,3188.0,3012.1,3051.3,1473.57626443,4496323.25565526
1719878400,2024-07-02 00:00:00,ETH/EUR,3202.5,3224.4,3167.1,3178.5,1169.87480258,3718447.06000053
1719792000,2024-07-01 00:00:00,ETH/EUR,3198.5,3274.5,3188.1,3204.2,1283.02272287,4111061.408620054
1719705600,2024-06-30 00:00:00,ETH/EUR,3151.0,3217.4,3128.3,3198.1,1214.36091795,3883647.6516958945
1719619200,2024-06-29 00:00:00,ETH/EUR,3151.2,3178.0,3144.8,3150.9,515.29592176,1623645.9198735843
1719532800,2024-06-28 00:00:00,ETH/EUR,3218.6,3259.4,3140.4,3151.1,1319.21916348,4156991.5060418276
1719446400,2024-06-27 00:00:00,ETH/EUR,3153.6,3240.0,3144.3,3218.7,1053.32276416,3390329.9810017915
1719360000,2024-06-26 00:00:00,ETH/EUR,3170.5,3195.7,3112.5,3152.2,969.86764108,3057216.778212376
1719273600,2024-06-25 00:00:00,ETH/EUR,3122.9,3198.9,3108.9,3171.3,861.04167241,2730621.455713833
1719187200,2024-06-24 00:00:00,ETH/EUR,3198.0,3208.7,3016.5,3121.6,2194.09530549,6849087.9056175845
1719100800,2024-06-23 00:00:00,ETH/EUR,3262.6,3287.0,3187.0,3197.4,811.18895976,2593695.579936624
1719014400,2024-06-22 00:00:00,ETH/EUR,3290.1,3292.7,3250.0,3262.4,533.86348506,1741676.233659744
1718928000,2024-06-21 00:00:00,ETH/EUR,3279.2,3315.5,3222.3,3290.3,1709.35899190,5624303.89104857
1718841600,2024-06-20 00:00:00,ETH/EUR,3313.1,3376.0,3254.0,3279.7,1145.13438595,3755697.2456002147
1718755200,2024-06-19 00:00:00,ETH/EUR,3243.2,3338.9,3228.0,3312.8,1497.74924154,4961743.687373712
1718668800,2024-06-18 00:00:00,ETH/EUR,3268.0,3272.8,3127.0,3243.6,1805.12024596,5855088.029795855
1718582400,2024-06-17 00:00:00,ETH/EUR,3384.9,3396.2,3232.4,3268.1,1433.55162822,4684990.076185782
1718496000,2024-06-16 00:00:00,ETH/EUR,3331.1,3410.3,3308.7,3385.8,526.71219276,1783342.1422468082
1718409600,2024-06-15 00:00:00,ETH/EUR,3256.7,3357.7,3246.8,3331.8,1220.37078476,4066031.3806633684
1718323200,2024-06-14 00:00:00,ETH/EUR,3232.2,3297.9,3145.8,3255.8,1414.99611538,4606944.352454204
1718236800,2024-06-13 00:00:00,ETH/EUR,3292.6,3293.1,3187.1,3231.9,1583.36570315,5117279.616010485
1718150400,2024-06-12 00:00:00,ETH/EUR,3258.8,3381.8,3226.6,3292.0,3106.59484422,10226910.22717224
1718064000,2024-06-11 00:00:00,ETH/EUR,3404.2,3410.1,3196.2,3258.5,2478.25875437,8075406.151114645
1717977600,2024-06-10 00:00:00,ETH/EUR,3440.7,3455.0,3383.4,3404.0,1137.04529828,3870502.19534512
