https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1542931200,2018-11-23 00:00:00,BTC/EUR,3739.70,3835.69,3600.00,3793.14,2203.93654031,8359839.848511473
1542844800,2018-11-22 00:00:00,BTC/EUR,3989.97,4030.00,3708.04,3739.70,2403.54637313,8988542.371594261
1542758400,2018-11-21 00:00:00,BTC/EUR,3843.95,4074.91,3732.94,3987.11,4216.96052237,16813485.46834665
1542672000,2018-11-20 00:00:00,BTC/EUR,4144.92,4282.16,3557.02,3830.96,7806.31111708,29905665.637088798
1542585600,2018-11-19 00:00:00,BTC/EUR,4875.00,4880.31,4101.00,4134.31,5122.33486616,21177320.260513954
1542499200,2018-11-18 00:00:00,BTC/EUR,4832.00,4953.08,4819.44,4867.59,419.86453170,2043728.395857603
1542412800,2018-11-17 00:00:00,BTC/EUR,4832.84,4863.32,4779.01,4823.00,637.55094211,3074908.1937965304
1542326400,2018-11-16 00:00:00,BTC/EUR,4926.40,4953.93,4740.34,4825.00,1613.79863057,7786578.39250025
1542240000,2018-11-15 00:00:00,BTC/EUR,4970.31,5009.55,4613.80,4926.40,3270.83586041,16113445.782723822
1542153600,2018-11-14 00:00:00,BTC/EUR,5556.04,5586.55,4679.00,4977.00,5143.11225116,25597269.67402332
1542067200,2018-11-13 00:00:00,BTC/EUR,5639.98,5639.99,5546.91,5546.91,873.82949287,4847053.552295531
1541980800,2018-11-12 00:00:00,BTC/EUR,5620.76,5664.64,5608.81,5632.50,755.21663752,4253757.7108314
1541894400,2018-11-11 00:00:00,BTC/EUR,5601.88,5621.21,5547.02,5621.21,422.17331302,2373124.8488811543
1541808000,2018-11-10 00:00:00,BTC/EUR,5591.99,5630.00,5581.51,5601.88,314.41101562,1761292.7801813656
1541721600,2018-11-09 00:00:00,BTC/EUR,5640.26,5663.61,5559.01,5591.99,913.72998856,5109568.9587276345
1541635200,2018-11-08 00:00:00,BTC/EUR,5695.86,5699.99,5600.00,5640.55,672.87184565,3795367.2889811075
1541548800,2018-11-07 00:00:00,BTC/EUR,5649.66,5738.98,5634.03,5685.17,1241.64183647,7058944.91944415
1541462400,2018-11-06 00:00:00,BTC/EUR,5621.12,5655.00,5593.52,5644.97,1157.83725147,6535956.549430606
1541376000,2018-11-05 00:00:00,BTC/EUR,5634.82,5649.00,5578.42,5626.20,619.72105255,3486674.5858568097
1541289600,2018-11-04 00:00:00,BTC/EUR,5572.03,5674.00,5538.08,5634.82,606.71283916,3418717.640355551
1541203200,2018-11-03 00:00:00,BTC/EUR,5580.00,5582.43,5525.79,5572.03,277.79794099,1547898.4611345094
1541116800,2018-11-02 00:00:00,BTC/EUR,5566.99,5595.00,5534.03,5580.00,1098.43846949,6129286.6597542
1541030400,2018-11-01 00:00:00,BTC/EUR,5575.30,5583.75,5524.00,5566.98,354.43608952,1973138.6216360494
1540944000,2018-10-31 00:00:00,BTC/EUR,5533.00,5614.59,5480.95,5575.30,722.40512394,4027625.287502682
1540857600,2018-10-30 00:00:00,BTC/EUR,5509.99,5549.18,5498.51,5533.00,919.89819004,5089796.68549132
1540771200,2018-10-29 00:00:00,BTC/EUR,5632.24,5643.51,5450.00,5509.99,1556.38952737,8575690.731913425
1540684800,2018-10-28 00:00:00,BTC/EUR,5643.00,5644.42,5610.00,5632.30,408.80561776,2302515.8809096483
1540598400,2018-10-27 00:00:00,BTC/EUR,5630.37,5649.45,5610.01,5634.35,251.37101259,1416312.2647864665
1540512000,2018-10-26 00:00:00,BTC/EUR,5630.32,5669.99,5607.19,5630.50,760.50302460,4282012.2800103
