Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
EXCHANGE,Current,04/06/2024 09:24,04/06/2024 09:24,xxx,-1037,0,DKK,COMPLETED,8700
EXCHANGE,Current,04/07/2024 08:23,04/07/2024 08:23,xxx,-7500,0,DKK,COMPLETED,1200
EXCHANGE,Current,05/01/2024 10:04,05/01/2024 10:04,xxx,-1200,0,DKK,COMPLETED,0
TOPUP,Current,05/02/2024 13:39,05/02/2024 13:40,xxx,2500,0,DKK,COMPLETED,2500
EXCHANGE,Current,05/02/2024 13:41,05/02/2024 13:41,xxx,-1500,0,DKK,COMPLETED,1000
EXCHANGE,Current,05/06/2024 20:34,05/06/2024 20:34,xxx,-1000,0,DKK,COMPLETED,0
TOPUP,Current,05/06/2024 20:36,05/06/2024 20:37,xxx,2500,0,DKK,COMPLETED,2500
EXCHANGE,Current,5/20/2024 12:57,5/20/2024 12:57,xxx,-47,0,DKK,COMPLETED,2453
CARD_PAYMENT,Current,5/20/2024 12:57,5/22/2024 14:52,xxx,-551,0,DKK,COMPLETED,1901
EXCHANGE,Current,5/25/2024 9:34,5/25/2024 9:34,xxx,-953,0,DKK,COMPLETED,949
TOPUP,Current,5/25/2024 9:38,5/25/2024 9:39,xxx,5000,0,DKK,COMPLETED,5949
EXCHANGE,Current,5/25/2024 9:43,5/25/2024 9:43,xxx,-2818,0,DKK,COMPLETED,3131
TOPUP,Current,5/31/2024 20:18,5/31/2024 20:19,xxx,6250,0,DKK,COMPLETED,9381
EXCHANGE,Current,5/31/2024 20:21,5/31/2024 20:21,xxx,-5000,0,DKK,COMPLETED,4381
EXCHANGE,Current,06/04/2024 08:10,06/04/2024 08:10,xxx,-1250,0,DKK,COMPLETED,3131
EXCHANGE,Current,6/18/2024 10:41,6/18/2024 10:41,xxx,-3125,0,DKK,COMPLETED,6
TOPUP,Current,6/21/2024 11:00,6/21/2024 11:00,xxx,6250,0,DKK,COMPLETED,6256
EXCHANGE,Current,6/21/2024 11:01,6/21/2024 11:01,xxx,-5000,0,DKK,COMPLETED,1256
TOPUP,Current,6/27/2024 17:46,6/27/2024 17:47,xxx,6250,0,DKK,COMPLETED,7506
EXCHANGE,Current,6/27/2024 17:48,6/27/2024 17:48,xxx,-6250,0,DKK,COMPLETED,1256
EXCHANGE,Current,07/01/2024 15:44,07/01/2024 15:44,xxx,"-812,0",0,DKK,COMPLETED,443
TOPUP,Current,07/01/2024 15:57,07/01/2024 15:57,xxx,3750,0,DKK,COMPLETED,4193
EXCHANGE,Current,07/01/2024 16:00,07/01/2024 16:00,xxx,-2500,0,DKK,COMPLETED,1693
EXCHANGE,Current,7/15/2024 15:29,7/15/2024 15:29,xxx,-1625,0,DKK,COMPLETED,68
TOPUP,Current,7/16/2024 19:22,7/16/2024 19:22,xxx,3750,0,DKK,COMPLETED,3818
EXCHANGE,Current,7/16/2024 19:27,7/16/2024 19:27,xxx,-750,0,DKK,COMPLETED,3068
EXCHANGE,Current,7/16/2024 19:30,7/16/2024 19:30,xxx,-585,0,DKK,COMPLETED,2483
EXCHANGE,Current,7/16/2024 19:33,7/16/2024 19:33,xxx,-923,0,DKK,COMPLETED,1560
EXCHANGE,Current,7/24/2024 7:51,7/24/2024 7:51,xxx,-345,0,DKK,COMPLETED,1215
EXCHANGE,Current,7/24/2024 7:54,7/24/2024 7:54,xxx,-965,0,DKK,COMPLETED,250
TOPUP,Current,7/29/2024 17:56,7/29/2024 17:56,xxx,5000,0,DKK,COMPLETED,5250
EXCHANGE,Current,7/29/2024 20:59,7/29/2024 20:59,xxx,-1516,0,DKK,COMPLETED,3734
EXCHANGE,Current,7/30/2024 16:55,7/30/2024 16:55,xxx,"-812,0",0,DKK,COMPLETED,2922
ATM,Current,7/30/2024 17:38,7/31/2024 16:04,xxx,-2100,0,DKK,COMPLETED,822
TOPUP,Current,08/03/2024 09:23,08/03/2024 09:24,xxx,7500,0,DKK,COMPLETED,8322
EXCHANGE,Current,08/03/2024 10:11,08/03/2024 10:11,xxx,-3750,0,DKK,COMPLETED,4572
EXCHANGE,Current,08/04/2024 17:04,08/04/2024 17:04,xxx,"-812,0",0,DKK,COMPLETED,3759
EXCHANGE,Current,08/05/2024 07:33,08/05/2024 07:33,xxx,-750,0,DKK,COMPLETED,3009
EXCHANGE,Current,08/07/2024 15:33,08/07/2024 15:33,xxx,-1713,0,DKK,COMPLETED,1296
EXCHANGE,Current,08/07/2024 20:49,08/07/2024 20:49,xxx,-750,0,DKK,COMPLETED,546
TOPUP,Current,8/13/2024 18:26,8/13/2024 18:26,xxx,2500,0,DKK,COMPLETED,3046
EXCHANGE,Current,8/13/2024 18:28,8/13/2024 18:28,xxx,-10,0,DKK,COMPLETED,3036
CARD_PAYMENT,Current,8/13/2024 18:28,8/15/2024 13:07,xxx,-620,0,DKK,COMPLETED,2416
